,id,sku,name,type,alc,ibu,price,currency,price_estimate,rating_count,rating_value,rating_best,section,country,brewery,url,last_modified
4632,f-527f4e58d187e40109003b5a,527f4e58d187e40109003b5a,Brooklyn Black Chocolate Stout,Imperial Stout,10 º,51 IBU,3.5,EUR,3.5,117272,3.85,5,Cervezas,Estados Unidos de América,Brooklyn Brewery,https://birrapedia.com/brooklyn-black-chocolate-stout/f-527f4e58d187e40109003b5a,2015-10-22
4633,f-544b63d5d187e44034000013,544b63d5d187e44034000013,Brooklyn Lager,Vienna Lager,5.2 º,30 IBU,2.4,EUR,,290178,3.47,5,Cervezas,Estados Unidos de América,Brooklyn Brewery,https://birrapedia.com/brooklyn-lager/f-544b63d5d187e44034000013,2015-05-11
4634,f-555e0335f70fb5166a0c5edb,555e0335f70fb5166a0c5edb,Flying Monkeys NetherWorld,Black IPA,6 º,35 IBU,0,€,,13312,3.58,5,Cervezas,Canada,Flying Monkeys Craft Brewery,https://birrapedia.com/flying-monkeys-netherworld/f-555e0335f70fb5166a0c5edb,2016-02-11
4635,f-527f4e50d187e4010900159a,527f4e50d187e4010900159a,Weihenstephaner VITUS,Weizenbock,7.7 º,17 IBU,37.4,EUR,,102842,3.88,5,Cervezas,Alemania,Bayerische Staatsbrauerei Weihenstephan,https://birrapedia.com/weihenstephaner-vitus/f-527f4e50d187e4010900159a,2017-07-04
4636,f-527f4e53d187e401090021d1,527f4e53d187e401090021d1,Robinsons Trooper,Special-Best-Premium Bitter,4.7 º,35 IBU,3.41,EUR,,111414,3.37,5,Cervezas,Gran Bretaña,Robinsons Brewery,https://birrapedia.com/robinsons-trooper/f-527f4e53d187e401090021d1,2018-01-12
4637,f-527f4e56d187e4010900334a,527f4e56d187e4010900334a,Anchor Liberty Ale,Ale,5.9 º,47 IBU,59.96,EUR,,101986,3.49,5,Cervezas,Estados Unidos de América,Anchor Brewing,https://birrapedia.com/anchor-liberty-ale/f-527f4e56d187e4010900334a,2017-01-31
4638,f-527f4e5ad187e401090043f2,527f4e5ad187e401090043f2,Hobgoblin,English Brown,5.2 º,32 IBU,3.8,EUR,,144578,3.44,5,Cervezas,Gran Bretaña,Wychwood,https://birrapedia.com/hobgoblin/f-527f4e5ad187e401090043f2,2020-01-28
4639,f-562e1918f70fb52c4613ce82,562e1918f70fb52c4613ce82,Flying Dog Doggie Style Pale Ale,American Pale Ale,5.5 º,35 IBU,2.47,EUR,,96186,3.55,5,Cervezas,Estados Unidos de América,Flying Dog Brewery,https://birrapedia.com/flying-dog-doggie-style-pale-ale/f-562e1918f70fb52c4613ce82,2020-01-23
4640,f-536b1cc6d187e45b5200003b,536b1cc6d187e45b5200003b,Basqueland Aupa,Pale Ale,5.3 º,30 IBU,3.5,EUR,,5670,3.59,5,Cervezas,España,Basqueland Brewing Project,https://birrapedia.com/basqueland-aupa/f-536b1cc6d187e45b5200003b,2020-01-23
4641,f-540d5beed187e42d4d000002,540d5beed187e42d4d000002,La Quince Hop Fiction,American Pale Ale,5.4 º,40 IBU,3.1,EUR,3.1,5095,3.62,5,Cervezas,España,La Quince Brewery,https://birrapedia.com/la-quince-hop-fiction/f-540d5beed187e42d4d000002,2014-09-08
4642,f-542eed1cd187e4fd63000008,542eed1cd187e4fd63000008,Aecht Schlenkerla Rauchbier Weizen,Weizen-Weissbier,5.2 º,20 IBU,37.5,EUR,,20749,3.58,5,Cervezas,Alemania,Schlenkerla,https://birrapedia.com/aecht-schlenkerla-rauchbier-weizen/f-542eed1cd187e4fd63000008,2017-06-06
4643,f-527f4e56d187e40109003121,527f4e56d187e40109003121,Pagoa Orhia,Pilsner,4.9 º,,0,€,,590,2.81,5,Cervezas,España,Pagoa Basque Beer,https://birrapedia.com/pagoa-orhia/f-527f4e56d187e40109003121,2018-01-25
